,Titles,Doc_IDs
0,"Updated January 26, 2024",0
1,SUMMARY,0
2,RS21372,0
3,What Is the European Union?,0
4,How Does the EU Work?,0
5,How Is the EU Governed?,0
6,What Is the Lisbon Treaty?,0
7,Key EU Positions and Current Leaders,0
8,What Are the Euro and the Eurozone?,0
9,Why and How Is the EU Enlarging?,0
10,Does the EU Have a Foreign Policy?,0
11,Does the EU Have a Defense Policy?,0
12,What Is the Relationship of the EU to NATO?,0
13,What Is Justice and Home Affairs?,0
14,What Is the Schengen Area?,0
15,Does the EU Have a Trade Policy and Process?,0
16,How Do EU Countries and Citizens View the EU?,0
17,"What Is Brexit, and How Has It Affected the EU?31",0
18,How Might the EU Evolve in the Future?,0
19,Does the United States Have a Formal Relationship with the EU?,0
20,Who Are U.S. Officialsâ€™ Counterparts in the EU?,0
21,What Is the History of U.S.-EU Relations?,0
22,What Is the Current State of U.S.-EU Relations?,0
23,Disclaimer,0
